"Date","Open","High","Low","Close"
"Dec 11, 2019","$931.15","$943.05","$931.15","$943.05"
"Dec 10, 2019","$926.11","$926.11","$925.47","$925.47"
"Dec 09, 2019","$898.02","$898.55","$898.02","$898.55"
"Dec 06, 2019","$899.38","$899.51","$899.38","$899.51"
"Dec 05, 2019","$901.28","$902.49","$899.63","$900.53"
"Oct 30, 2019","$924.78","$928.61","$924.78","$928.61"
"Oct 29, 2019","$917.44","$924.64","$917.44","$924.64"
"Oct 28, 2019","$932.49","$934.21","$922.33","$922.33"
"Oct 25, 2019","$928.78","$932.21","$928.78","$932.21"
"Oct 24, 2019","$925.35","$926.02","$925.35","$925.75"
"Oct 22, 2019","$895.02","$895.02","$895.02","$895.02"
"Oct 21, 2019","$891.55","$891.55","$891.55","$891.55"
"Oct 18, 2019","$893.06","$894.54","$893.06","$894.54"
"Oct 17, 2019","$889.09","$890.50","$889.09","$890.50"
"Oct 16, 2019","$890.10","$890.10","$887.55","$888.26"
"Oct 15, 2019","$893.71","$893.71","$888.56","$888.56"
"Oct 14, 2019","$898.74","$898.74","$896.38","$897.12"
"Oct 11, 2019","$907.40","$908.68","$901.59","$901.59"
"Oct 10, 2019","$895.01","$901.53","$895.01","$901.53"
"Oct 09, 2019","$897.00","$897.00","$895.68","$895.68"
"Oct 08, 2019","$886.04","$897.38","$885.80","$894.30"
"Oct 07, 2019","$881.83","$882.58","$881.54","$881.54"
"Oct 04, 2019","$883.85","$887.20","$883.85","$887.20"
"Oct 03, 2019","$892.51","$896.72","$891.62","$891.62"
"Oct 02, 2019","$877.30","$891.34","$877.30","$891.31"
"Oct 01, 2019","$880.92","$880.92","$880.92","$880.92"
"Sep 30, 2019","$886.94","$886.94","$886.94","$886.94"
"Sep 27, 2019","$937.78","$937.78","$936.50","$936.50"
"Sep 25, 2019","$931.11","$931.11","$931.11","$931.11"
"Sep 24, 2019","$956.83","$957.65","$956.36","$956.86"
"Sep 20, 2019","$946.81","$952.65","$946.65","$952.65"
"Sep 19, 2019","$930.94","$942.04","$930.94","$942.04"
"Sep 18, 2019","$945.09","$945.09","$931.91","$931.91"
"Sep 17, 2019","$944.82","$945.14","$944.82","$945.14"
"Sep 16, 2019","$956.12","$963.34","$939.58","$939.76"
"Sep 13, 2019","$958.39","$966.71","$952.54","$952.54"
"Sep 12, 2019","$953.43","$954.59","$953.43","$953.86"
"Sep 11, 2019","$945.32","$947.50","$944.24","$947.50"
"Sep 10, 2019","$945.91","$945.91","$933.92","$934.30"
"Sep 09, 2019","$950.70","$950.70","$950.70","$950.70"
"Sep 06, 2019","$954.75","$954.75","$954.75","$954.75"
"Sep 05, 2019","$988.99","$988.99","$962.92","$964.38"
"Sep 04, 2019","$969.15","$989.83","$969.15","$989.83"
"Sep 03, 2019","$939.08","$962.14","$937.67","$962.14"
"Sep 02, 2019","$936.42","$936.42","$936.42","$936.42"
"Aug 30, 2019","$939.65","$939.65","$939.65","$939.65"
"Aug 29, 2019","$916.60","$919.99","$916.60","$919.99"
"Aug 28, 2019","$904.49","$905.36","$904.49","$905.36"
"Aug 27, 2019","$868.33","$870.02","$868.33","$870.02"
"Aug 26, 2019","$859.83","$859.83","$859.73","$859.73"
"Aug 23, 2019","$862.79","$863.71","$862.79","$863.71"
"Aug 22, 2019","$854.55","$861.65","$851.73","$861.65"
"Aug 21, 2019","$856.22","$856.88","$856.22","$856.88"
"Aug 20, 2019","$854.19","$856.01","$852.70","$852.70"
"Aug 19, 2019","$854.56","$855.04","$853.17","$853.17"
"Aug 16, 2019","$853.01","$853.01","$853.01","$853.01"
"Aug 15, 2019","$847.69","$847.69","$845.05","$845.19"
"Aug 14, 2019","$847.95","$848.68","$847.95","$848.68"
"Aug 13, 2019","$865.91","$868.02","$858.97","$858.97"
"Aug 12, 2019","$861.38","$861.38","$861.38","$861.38"
"Aug 09, 2019","$864.03","$864.03","$864.03","$864.03"
"Aug 08, 2019","$863.22","$868.51","$861.09","$868.51"
